1;10000000;Capital Social;0;435484,6
2;11200000;Reserva Legal;0;87618,4
3;11300000;Reservas Voluntarias;0;1569904,42
4;11320000;Reservas p/trans.PGC-2007;22947,11;0
5;11330000;Reservas p/regul.saldos ej.Ant;6688,47;0
6;11450119;Reserva Capitalización 2019;0;4843,95
7;11450120;Reserva Capitalización 2020;0;7139,24
8;11450121;Reserva Capitalización 2021;0;940,22
9;11450122;Reserva Capitalización 2022;0;6334,5
10;11900000;Dif. ajuste de capital a euros;0;8,77
11;12100000;Resultados Negativos Ej.Ant.;16805,83;0
12;13300000;Aj. valoracion activos finan.;0;164,68
13;17000000;Deudas a L/P por prestamos rec;0;128292
14;20400000;Fondo de Comercio;23163,94;0
15;20600000;Aplicaciones Informaticas;46487,67;0
16;20700000;Identificacion corporativa Nis;59063,06;0
17;21000000;Terrenos;184185,99;0
18;21100000;Edificios;2693521,52;0
19;21300000;Maquinaria;122447,76;0
20;21400000;Utillajes y Herramientas;133562,52;0
21;21500000;Otras Instalaciones;69100,29;0
22;21600000;Mobiliario;264532,18;0
23;21700000;Equipos procesos de  informaci;103828,66;0
24;21801000;Vehículos de compañía;86601,88;0
25;21900000;Otro Inmovilizado Material;26375,22;0
26;25000000;Inver. finan. LP en instrument;965,45;0
27;26000000;Fianzas Constituidas a L/P;1442,44;0
28;28040000;Amort.Acum.Fondo de Comercio;0;20847,55
29;28060000;Amort.Acum.Aplicaciones Inf.;0;45082,75
30;28070000;Amortizacion acum.Identf.coorp;0;46862,34
31;28110000;Amortiz. Ac.Edificios;0;1577334,31
32;28130000;Amort.Acum.Maquinaria;0;96382,7
33;28140000;Amort.Acum.de Utillaje;0;112806,57
34;28150000;Amort.Acum.Otras Instalaciones;0;15513,87
35;28160000;Amort.Acum.de Mobiliario;0;199260,02
36;28170000;Amortiz. ac eq. proc. inform.;0;79231,14
37;28180100;Amort.Acum.elem. Transporte;0;24408,79
38;28190000;Amort.Acum.Otro Inmov.Material;0;14309,41
39;30000020;Existencias VO Turi/TT/Comerc.;613805,49;0
40;30000080;Existencias Agricola;238937,18;0
41;30000110;Existencias Turis./TT/Comer.VN;1062126,68;0
42;30000150;Existencias Recambios;659526,86;0
43;33000000;Existencias Trabajos en Curso;46470,08;0
44;39000050;Provisión Deprec.Rec. Nissan;0;264541,99
45;39000051;Provisión Deprec. Rec.Kia;0;71239,43
46;39000052;Dotc.Prov.Exist.Rec.Varios;0;19607,02
47;39000053;Provisión Deprec. Rec.Agricola;0;67895,07
48;40000000;Proveedores;0;156929,18
49;40001010;Kia Proveedor Recambios;0;25407,05
50;40090000;Facturas Pendientes Recibir;0;56187,06
51;40090100;Gastos pendientes liquidar;0;4776,69
52;43004000;Clientes Recambios;274140,34;0
53;43100000;Efectos en cartera;4248,77;0
54;43600000;Clientes de Dudoso Cobro;10124,65;0
55;43800000;Anticipos de clientes;0;87170,41
56;43800200;Depositos Clientes Pos-venta;0;5090,31
57;44004000;Rci Banque Deudor;10046,28;0
58;45000002;Nissan por garantias y revisio;2264,29;0
59;45000004;Nissan por incentivos;90210,81;0
60;45000009;Nissan cargos y abonos;0;1262,87
61;47090000;H P Deudor Devolución Impuesto;9398,21;0
62;47200000;IVA Soportado;0,05;0
63;47300000;H P  Retenciones y Pagos Cta.;9120;0
64;47450000;Creditos Perdidas a Compensar;12966,91;0
65;47500000;H P  Acreedor por IVA;0;22720,36
66;47510000;Retenciones I R P F. Nomina;0;21764,85
67;47510100;Retenciones IRPF Profesionales;0;48,03
68;47510200;Retenciones IRPF Alquileres;0;137,16
69;47600000;Seguridad Social Acreedora;0;28748,33
70;47700000;IVA  Repercutido;0;0,05
71;48009000;Otros Gastos Anticipados;500;0
72;49900002;Det.valor Cdtos.p/oper.Taller;0;10124,65
73;52000000;Prestamos Recib. C/P Ent.Cred.;0;52230,77
74;52010000;Rci Banque Vehiculos nuevos;0;1285173,29
75;52010001;Rci Banque Vehiculos usados;0;241122,13
76;52010002;Rci Banque Vehiculos Democar;0;232360,55
77;52010003;Rci Banque Facturas Recambios;0;86350,22
78;52010004;Rci Banque Intereses Polizas;0;2238,36
79;52020000;Argo Finance;0;273927,48
80;56500000;Fianzas Constituidas C/P;500;0
81;57000010;Caja Central Amposta;1411,92;0
82;57000020;Caja Central Tortosa;2288,69;0
83;57000030;Caja Central Vinarós;3353,85;0
84;57200000;Santander cuenta corriente;110254,74;0
85;57200005;La Caixa cuenta corriente;449709,18;0
86;57200006;Banc Sabadell;145981,94;0
87;60000010;Compras Vehículos Nuevos;5903751,36;0
88;60000020;Vehículos Usados;2927895,23;0
89;60000050;Compras Recambios;1240722,47;0
90;60700010;Compras Trabajos Exteriores;331348,94;0
91;60900010;Ayudas Nmesa por preentrega;0;11778,62
92;60900020;Rappel e incentivos VO;0;15876,43
93;60900030;Rappel e incentivos Taller;0;3715,39
94;60900050;Rappel e inventivos Almacén;0;32497,69
95;60940000;Bono Volumen;0;192725
96;60940010;Bono Fidelizacion/Pedidos;0;49075
97;60990010;Bonos por calidad VN (CVS);0;35456,92
98;60990030;Bonos por calidad Taller (CVA);0;16537
99;61000080;Var. Existen.Agricola;189814,36;0
100;61000110;Var. Exist.VN Turi/TT/Comerc.;0;117969,11
